time,E,C,T,img
6.063888888888889,0,0,0,060350.xml
6.0725,0,0,0,060421.xml
6.0808333333333335,0,0,0,060451.xml
6.089166666666666,0,0,0,060521.xml
6.097777777777777,0,0,0,060552.xml
6.106111111111111,0,0,0,060622.xml
6.1147222222222215,0,0,0,060653.xml
6.123333333333333,0,1,0,060724.xml
6.131666666666666,0,1,0,060754.xml
6.140000000000001,0,1,0,060824.xml
6.148888888888889,0,1,0,060856.xml
6.157222222222223,0,1,0,060926.xml
6.165555555555556,0,1,0,060956.xml
6.174722222222223,0,1,0,061029.xml
6.183055555555556,0,1,0,061059.xml
6.1913888888888895,0,1,0,061129.xml
6.200555555555556,0,1,0,061202.xml
6.208888888888889,0,1,0,061232.xml
6.217222222222222,0,1,0,061302.xml
6.226111111111111,0,1,0,061334.xml
6.234444444444445,0,0,0,061404.xml
6.2427777777777775,0,0,0,061434.xml
6.251944444444445,0,0,0,061507.xml
6.260555555555555,0,0,0,061538.xml
6.268888888888889,0,0,0,061608.xml
6.2780555555555555,0,0,0,061641.xml
6.286388888888888,0,0,0,061711.xml
6.294722222222222,0,0,0,061741.xml
6.303888888888888,0,0,0,061814.xml
6.312222222222222,0,0,0,061844.xml
6.320555555555555,0,0,0,061914.xml
6.329444444444444,0,0,0,061946.xml
6.337777777777777,0,0,0,062016.xml
6.346111111111111,0,0,0,062046.xml
6.355277777777777,0,0,0,062119.xml
6.363611111111111,0,0,0,062149.xml
6.371944444444444,0,1,0,062219.xml
6.38111111111111,0,1,0,062252.xml
6.389444444444445,0,0,0,062322.xml
6.397777777777778,0,0,0,062352.xml
6.406666666666667,0,0,0,062424.xml
6.415,0,0,0,062454.xml
6.423333333333334,0,0,0,062524.xml
6.432222222222222,0,0,1,062556.xml
6.448888888888889,0,0,0,062656.xml
6.458055555555556,0,0,0,062729.xml
6.471666666666667,0,0,0,062818.xml
6.482777777777778,0,0,0,062858.xml
6.499722222222222,0,0,0,062959.xml
6.508055555555556,0,0,0,063029.xml
6.516944444444444,0,0,0,063101.xml
6.55,0,0,0,063300.xml
6.558333333333334,0,0,0,063330.xml
6.566944444444444,0,0,0,063401.xml
6.575277777777777,0,0,0,063431.xml
6.583611111111111,0,1,0,063501.xml
6.592499999999999,0,1,0,063533.xml
6.600833333333333,0,0,0,063603.xml
6.609166666666666,0,0,0,063633.xml
6.618055555555556,0,0,0,063705.xml
6.626388888888889,0,0,0,063735.xml
6.634722222222222,0,1,0,063805.xml
6.6436111111111105,0,0,0,063837.xml
6.66,0,0,0,063936.xml
6.669166666666667,0,1,0,064009.xml
6.6775,0,0,0,064039.xml
6.685833333333334,0,1,0,064109.xml
6.6947222222222225,0,1,0,064141.xml
6.703055555555555,0,1,0,064211.xml
6.711388888888889,0,1,0,064241.xml
6.720277777777778,0,1,0,064313.xml
6.728611111111111,0,1,0,064343.xml
6.736944444444444,0,1,0,064413.xml
6.746111111111111,0,1,0,064446.xml
6.754444444444444,0,1,0,064516.xml
6.762777777777778,0,1,0,064546.xml
6.7716666666666665,0,1,0,064618.xml
6.78,0,1,0,064648.xml
6.788333333333333,0,1,0,064718.xml
6.7975,0,1,0,064751.xml
6.805833333333333,0,1,0,064821.xml
6.814166666666667,0,0,0,064851.xml
6.823333333333333,0,1,0,064924.xml
6.831944444444444,0,1,0,064955.xml
6.840277777777778,0,1,0,065025.xml
6.849444444444444,0,1,0,065058.xml
6.857777777777778,0,1,0,065128.xml
6.866111111111111,0,0,0,065158.xml
6.874722222222223,0,1,0,065229.xml
6.883055555555556,0,0,0,065259.xml
6.891388888888889,0,1,0,065329.xml
6.900277777777778,0,1,0,065401.xml
6.908611111111111,0,1,0,065431.xml
6.916944444444445,0,1,0,065501.xml
6.925833333333333,0,1,0,065533.xml
6.934444444444445,0,1,0,065604.xml
6.942777777777778,0,1,0,065634.xml
6.951388888888889,0,1,0,065705.xml
6.959722222222222,0,1,0,065735.xml
6.968333333333334,0,1,0,065806.xml
6.977222222222222,0,1,0,065838.xml
6.985555555555556,0,1,0,065908.xml
7.0025,0,0,0,070009.xml
7.011111111111111,0,1,0,070040.xml
7.019444444444445,0,1,0,070110.xml
7.028333333333333,0,1,0,070142.xml
7.036666666666666,0,1,0,070212.xml
